Continent,Region/Country,Product,Variable,Year,Unit,Quantity
Asia,Afghanistan,Wine,Consumption, 2 007,1000 hl,10
Asia,Afghanistan,Wine,Imports, 2 007,1000 hl,10
Asia,Afghanistan,Wine,Consumption, 2 008,1000 hl,1
Asia,Afghanistan,Wine,Imports, 2 008,1000 hl,1
Asia,Afghanistan,Wine,Consumption, 2 009,1000 hl,3
Asia,Afghanistan,Wine,Imports, 2 009,1000 hl,3
Asia,Afghanistan,Wine,Consumption, 2 010,1000 hl,2
Asia,Afghanistan,Wine,Imports, 2 010,1000 hl,2
Asia,Afghanistan,Wine,Production, 2 010,1000 hl,0
Asia,Afghanistan,Wine,Consumption, 2 011,1000 hl,1
Asia,Afghanistan,Wine,Imports, 2 011,1000 hl,1
Asia,Afghanistan,Wine,Production, 2 011,1000 hl,0
Asia,Afghanistan,Wine,Consumption, 2 012,1000 hl,1
Asia,Afghanistan,Wine,Imports, 2 012,1000 hl,1
Asia,Afghanistan,Wine,Production, 2 012,1000 hl,0
Asia,Afghanistan,Wine,Consumption, 2 013,1000 hl,1
Asia,Afghanistan,Wine,Imports, 2 013,1000 hl,0
Asia,Afghanistan,Wine,Production, 2 013,1000 hl,0
Asia,Afghanistan,Wine,Consumption, 2 014,1000 hl,1
Asia,Afghanistan,Wine,Imports, 2 014,1000 hl,1
Asia,Afghanistan,Wine,Production, 2 014,1000 hl,0
Asia,Afghanistan,Wine,Consumption, 2 015,1000 hl,1
Asia,Afghanistan,Wine,Imports, 2 015,1000 hl,1
Asia,Afghanistan,Wine,Production, 2 015,1000 hl,0
Asia,Afghanistan,Wine,Consumption, 2 016,1000 hl,1
Asia,Afghanistan,Wine,Imports, 2 016,1000 hl,1
Asia,Afghanistan,Wine,Production, 2 016,1000 hl,0
Asia,Afghanistan,Wine,Consumption, 2 017,1000 hl,1
Asia,Afghanistan,Wine,Imports, 2 017,1000 hl,1
Asia,Afghanistan,Wine,Production, 2 017,1000 hl,0
Asia,Afghanistan,Wine,Consumption, 2 018,1000 hl,1
Asia,Afghanistan,Wine,Imports, 2 018,1000 hl,1
Asia,Afghanistan,Wine,Production, 2 018,1000 hl,0
Asia,Afghanistan,Wine,Consumption, 2 019,1000 hl,1
Asia,Afghanistan,Wine,Imports, 2 019,1000 hl,1
Asia,Afghanistan,Wine,Production, 2 019,1000 hl,0
Asia,Afghanistan,Wine,Consumption, 2 020,1000 hl,1
Asia,Afghanistan,Wine,Imports, 2 020,1000 hl,1
Asia,Afghanistan,Wine,Production, 2 020,1000 hl,0
Asia,Afghanistan,Wine,Consumption, 2 021,1000 hl,1
